accession,genogroup,vp_genotype,pol_genotype,genotype,description,year,accession
FJ537138,GII,GII4,GII1,GIIP1_GII4,FJ537138_CHDC4871_GIIP1_GII4_Could_not_assign,none,FJ537138
FJ537135,GII,GII4,GII1,GIIP1_GII4,FJ537135_CHDC2094_GIIP1_GII4_Could_not_assign,none,FJ537135
FJ537137,GII,GII4,GII4,GIIP4_GII4,FJ537137_CHDC4108_GIIP4_GII4_Bristol_1993,1993,FJ537137
FJ537136,GII,GII4,GII4,GIIP4_GII4,FJ537136_CHDC3967_GIIP4_GII4_Camberwell_1994,1994,FJ537136
AY741811,GII,GII4,GII4,GIIP4_GII4,AY741811_Dresden174_GIIP4_GII4_US95_96,96,AY741811
EU310927,GII,GII4,GII4,GIIP4_GII4,EU310927_TCH186_GIIP4_GII4_Lanzou_2002,2002,EU310927
DQ658413,GII,GII4,GII4,GIIP4_GII4,DQ658413_MD2004_GIIP4_GII4_Farmington_Hills_2002,2002,DQ658413
AB220921,GII,GII4,GII12,GIIP12_GII4,AB220921_041050_GIIP12_GII4_Asia_2003,2003,AB220921
DQ078814,GII,GII4,GII4,GIIP4_GII4,DQ078814_Hunter504D_GIIP4_GII4_Hunter_2004,2004,DQ078814
EF187497,GII,GII4,GII4,GIIP4_GII4,EF187497_NZ327_GIIP4_GII4_Yerseke_2006a,2006a,EF187497
JQ622197,GII,GII4,GII4,GIIP4_GII4,JQ622197_CBNU2_GIIP4_GII4_Den_Haag_2006b,2006b,JQ622197
GQ845368,GII,GII4,GII4,GII4,GQ845368_NSW505G_GII4_GII4_Osaka_2007,2007,GQ845368
EU921388,GII,GII4,GIIe,GIIPe_GII4,EU921388_PC51_GIIPe_GII4_Osaka_2007,2007,EU921388
HM748973,GII,GII4,GII4,GIIP4_GII4,HM748973_NSW892U_GIIP4_GII4_Apeldoorn_2007,2007,HM748973
GU445325,GII,GII4,GII4,GIIP4_GII4,GU445325_New_Orleans1805_GIIP4_GII4_New_Orleans_2009,2009,GU445325
MG002634,GII,GII4,GII4,GIIP4_GII4,MG002634_BNE5_GIIP4_New_Orleans_GIIP4_GII4_Sydney_2012,2012,MG002634
LC175468,GII,GII4,GII16,GIIP16_GII4,LC175468_Kawasaki194_GIIP16_GII4_Sydney_2012,2012,LC175468
